18689,10001,2017-02-04,"Lorem ipsum dolor sit amet
22559,10001,2017-11-06,"Lorem ipsum dolor sit amet
32763,10001,2017-03-11,"Lorem ipsum dolor sit amet
36136,10001,2015-01-12,"Lorem ipsum dolor sit amet
37728,10001,2019-04-27,"Lorem ipsum dolor sit amet
41970,10001,2022-07-16,
43316,10001,2017-02-19,
43769,10001,2017-12-30,Lorem ipsum dolor sit am
49739,10001,2015-01-12,"Lorem ipsum dolor sit amet
65584,10001,2019-07-12,Lorem ipsum dolor sit am
76560,10001,2014-11-12,"Lorem ipsum dolor sit amet
79029,10001,2019-07-27,"Lorem ipsum dolor sit amet
3926,10002,2014-12-09,
43772,10002,2018-01-02,"Lorem ipsum dolor sit amet
54617,10002,2021-09-26,"Lorem ipsum dolor sit amet
84764,10002,2018-01-04,"Lorem ipsum dolor sit amet
90218,10002,2019-12-26,"Lorem ipsum dolor sit amet
99700,10002,2018-08-13,"Lorem ipsum dolor sit amet
755,10003,2015-01-10,
4888,10003,2017-03-23,"Lorem ipsum dolor sit amet
27204,10003,2022-01-26,"Lorem ipsum dolor sit amet
56418,10003,2015-01-12,"Lorem ipsum dolor sit amet
16449,10004,2019-06-02,"Lorem ipsum dolor sit amet
30903,10004,2019-08-04,"Lorem ipsum dolor sit amet
36664,10004,2017-10-28,
40640,10004,2021-06-19,"Lorem ipsum dolor sit amet
42921,10004,2015-01-12,
66179,10004,2020-01-13,Lorem ipsum dolor sit am
73297,10004,2015-01-10,"Lorem ipsum dolor sit amet
95665,10004,2021-06-05,
59988,10005,2014-12-23,
94045,10005,2020-03-23,"Lorem ipsum dolor sit amet
94961,10005,2020-12-04,"Lorem ipsum dolor sit amet
653,10006,2015-01-11,
55310,10006,2022-03-23,"Lorem ipsum dolor sit amet
70220,10006,2015-01-10,"Lorem ipsum dolor sit amet
77990,10006,2018-02-13,"Lorem ipsum dolor sit amet
97378,10006,2022-08-30,"Lorem ipsum dolor sit amet
10483,10007,2020-02-04,"Lorem ipsum dolor sit amet
11162,10007,2020-08-22,"Lorem ipsum dolor sit amet
15392,10007,2017-12-11,"Lorem ipsum dolor sit amet
22344,10007,2017-02-28,"Lorem ipsum dolor sit amet
49061,10007,2020-02-29,"Lorem ipsum dolor sit amet
64097,10007,2017-02-19,"Lorem ipsum dolor sit amet
78131,10007,2018-03-26,Lorem ipsum dolor sit am
70091,10008,2014-12-30,"Lorem ipsum dolor sit amet
98684,10008,2017-03-23,
28252,10009,2014-11-18,"Lorem ipsum dolor sit amet
46768,10009,2017-02-17,"Lorem ipsum dolor sit amet
54936,10009,2021-12-17,Lorem ipsum dolor sit am
77277,10009,2015-01-17,Lorem ipsum dolor sit am
95652,10009,2021-06-01,"Lorem ipsum dolor sit amet
14470,10010,2015-01-11,"Lorem ipsum dolor sit amet
47555,10010,2018-05-13,
63482,10011,2015-01-11,
96221,10011,2021-11-02,"Lorem ipsum dolor sit amet
11205,10012,2020-09-04,
32058,10012,2015-01-10,"Lorem ipsum dolor sit amet
46197,10012,2015-01-10,Lorem ipsum dolor sit am
61965,10012,2019-04-27,
63845,10012,2015-01-11,"Lorem ipsum dolor sit amet
66916,10012,2020-09-13,
97439,10012,2022-09-18,
16617,10013,2019-07-18,Lorem ipsum dolor sit am
27481,10013,2022-04-18,Lorem ipsum dolor sit am
69912,10013,2014-12-28,Lorem ipsum dolor sit am
80385,10013,2020-07-06,"Lorem ipsum dolor sit amet
91348,10013,2015-01-11,Lorem ipsum dolor sit am
1795,10014,2018-04-02,
7557,10014,2015-01-11,"Lorem ipsum dolor sit amet
52595,10014,2020-02-09,"Lorem ipsum dolor sit amet
19045,10015,2017-11-11,"Lorem ipsum dolor sit amet
24231,10015,2019-10-09,Lorem ipsum dolor sit am
27481,10015,2022-04-19,
28415,10015,2014-12-31,"Lorem ipsum dolor sit amet
30215,10015,2018-06-30,"Lorem ipsum dolor sit amet
78902,10015,2019-06-16,"Lorem ipsum dolor sit amet
5022,10016,2017-11-02,"Lorem ipsum dolor sit amet
31180,10016,2019-10-30,Lorem ipsum dolor sit am
74224,10016,2017-11-11,
42844,10017,2014-12-30,
43483,10017,2017-04-12,
71197,10017,2018-03-05,
73427,10017,2014-12-31,"Lorem ipsum dolor sit amet
77772,10017,2017-11-22,
10760,10018,2020-04-24,"Lorem ipsum dolor sit amet
29251,10018,2017-03-10,Lorem ipsum dolor sit am
82135,10018,2021-11-26,Lorem ipsum dolor sit am
92866,10018,2019-04-18,Lorem ipsum dolor sit am
59171,10019,2019-11-01,
11914,10020,2021-03-06,"Lorem ipsum dolor sit amet
46956,10020,2017-04-16,"Lorem ipsum dolor sit amet
56394,10020,2015-01-12,"Lorem ipsum dolor sit amet
72036,10020,2019-07-10,"Lorem ipsum dolor sit amet
77173,10020,2015-01-12,
91784,10020,2017-11-13,"Lorem ipsum dolor sit amet
12846,10021,2021-12-07,"Lorem ipsum dolor sit amet
13577,10021,2022-07-11,"Lorem ipsum dolor sit amet
26380,10021,2021-06-04,
84423,10021,2017-03-11,
89527,10021,2019-07-03,"Lorem ipsum dolor sit amet
36198,10022,2015-01-11,"Lorem ipsum dolor sit amet
69640,10022,2014-08-22,Lorem ipsum dolor sit am
71744,10022,2019-04-07,Lorem ipsum dolor sit am
15376,10023,2017-12-07,"Lorem ipsum dolor sit amet
2243,10024,2018-07-10,"Lorem ipsum dolor sit amet
26975,10024,2021-11-16,"Lorem ipsum dolor sit amet
67925,10024,2021-06-02,Lorem ipsum dolor sit am
68226,10024,2021-09-04,"Lorem ipsum dolor sit amet
75870,10024,2019-10-22,Lorem ipsum dolor sit am
48137,10025,2019-05-24,
49372,10025,2014-12-23,Lorem ipsum dolor sit am
9488,10026,2019-04-30,"Lorem ipsum dolor sit amet
82023,10026,2021-10-13,"Lorem ipsum dolor sit amet
84851,10026,2018-02-25,Lorem ipsum dolor sit am
78964,10027,2019-06-24,Lorem ipsum dolor sit am
23594,10028,2019-04-18,Lorem ipsum dolor sit am
25003,10028,2020-04-24,"Lorem ipsum dolor sit amet
60870,10028,2017-10-24,
77733,10028,2017-11-12,"Lorem ipsum dolor sit amet
91751,10028,2017-10-30,Lorem ipsum dolor sit am
48228,10029,2019-06-21,"Lorem ipsum dolor sit amet
80019,10029,2020-04-16,Lorem ipsum dolor sit am
87606,10029,2015-01-11,
2488,10030,2019-04-28,"Lorem ipsum dolor sit amet
10661,10030,2020-03-31,
45460,10030,2019-12-26,
51198,10030,2018-06-14,
52155,10030,2019-09-21,Lorem ipsum dolor sit am
58706,10030,2019-06-28,Lorem ipsum dolor sit am
89721,10030,2019-08-25,"Lorem ipsum dolor sit amet
14307,10031,2014-12-30,"Lorem ipsum dolor sit amet
46892,10031,2017-03-22,"Lorem ipsum dolor sit amet
84338,10031,2017-03-02,Lorem ipsum dolor sit am
92979,10031,2019-05-26,Lorem ipsum dolor sit am
54312,10032,2021-06-30,"Lorem ipsum dolor sit amet
63444,10032,2015-01-10,
78101,10032,2018-03-12,Lorem ipsum dolor sit am
14404,10033,2014-12-31,"Lorem ipsum dolor sit amet
38654,10033,2019-12-21,"Lorem ipsum dolor sit amet
85614,10033,2019-04-12,"Lorem ipsum dolor sit amet
4064,10034,2015-01-12,Lorem ipsum dolor sit am
15171,10034,2017-04-05,"Lorem ipsum dolor sit amet
34452,10034,2019-07-27,"Lorem ipsum dolor sit amet
48050,10034,2019-04-25,Lorem ipsum dolor sit am
54816,10034,2021-11-19,
66715,10034,2020-07-13,"Lorem ipsum dolor sit amet
74837,10034,2018-06-13,"Lorem ipsum dolor sit amet
7744,10035,2015-01-10,"Lorem ipsum dolor sit amet
22793,10035,2018-01-04,"Lorem ipsum dolor sit amet
39335,10035,2020-06-26,"Lorem ipsum dolor sit amet
15025,10036,2017-03-01,Lorem ipsum dolor sit am
31424,10036,2020-01-05,
87794,10036,2017-02-09,
12568,10037,2021-09-20,"Lorem ipsum dolor sit amet
49030,10037,2020-02-21,"Lorem ipsum dolor sit amet
58322,10037,2019-03-15,
62112,10037,2019-06-12,
69311,10037,2022-07-08,
52216,10038,2019-10-18,"Lorem ipsum dolor sit amet
91622,10038,2017-03-27,Lorem ipsum dolor sit am
7286,10039,2014-07-18,Lorem ipsum dolor sit am
8373,10039,2017-04-02,
20731,10039,2019-11-11,"Lorem ipsum dolor sit amet
11562,10040,2020-12-10,
16318,10040,2019-04-19,"Lorem ipsum dolor sit amet
31374,10040,2019-12-21,"Lorem ipsum dolor sit amet
52644,10041,2020-03-02,Lorem ipsum dolor sit am
75204,10041,2019-04-19,Lorem ipsum dolor sit am
92820,10041,2019-04-02,"Lorem ipsum dolor sit amet
97897,10041,2015-01-10,
30906,10042,2019-08-05,Lorem ipsum dolor sit am
40220,10042,2021-03-01,"Lorem ipsum dolor sit amet
94121,10042,2020-04-12,Lorem ipsum dolor sit am
8379,10043,2017-04-04,"Lorem ipsum dolor sit amet
43840,10043,2018-03-02,"Lorem ipsum dolor sit amet
71710,10043,2019-03-25,"Lorem ipsum dolor sit amet
72203,10043,2019-09-03,"Lorem ipsum dolor sit amet
72472,10043,2019-11-20,
99195,10043,2018-03-08,"Lorem ipsum dolor sit amet
34773,10044,2019-10-14,"Lorem ipsum dolor sit amet
35204,10044,2020-02-07,"Lorem ipsum dolor sit amet
91786,10044,2017-11-15,
24003,10045,2019-08-14,
38013,10045,2019-06-29,Lorem ipsum dolor sit am
69150,10045,2022-05-17,"Lorem ipsum dolor sit amet
81329,10045,2021-03-15,
91440,10045,2015-01-24,
4573,10046,2015-01-10,Lorem ipsum dolor sit am
13372,10046,2022-05-14,Lorem ipsum dolor sit am
14065,10046,2014-11-20,"Lorem ipsum dolor sit amet
20251,10046,2019-06-21,"Lorem ipsum dolor sit amet
40804,10046,2021-08-06,
50965,10046,2018-04-03,
57028,10046,2017-02-01,"Lorem ipsum dolor sit amet
59715,10046,2014-07-19,Lorem ipsum dolor sit am
67452,10046,2021-02-01,"Lorem ipsum dolor sit amet
75725,10046,2019-09-23,"Lorem ipsum dolor sit amet
96632,10046,2022-02-20,
